;series_name;episode_number;season_number;air_date;origin_country;channel;episode_url;duration
195;Bones of Crows;4;1;11-10-2023;Canada;CBC;episode04-410782-11102023-saison1-Bones-of-Crows.html;None
196;Children Ruin Everything;3;3;11-10-2023;Canada;CTV;episode03-410932-11102023-saison3-Children-Ruin-Everything.html;None
197;Chucky;2;3;11-10-2023;Etats-Unis;Syfy;episode02-409115-11102023-saison3-Chucky.html;None
198;Cooper's Bar;1;2;11-10-2023;Etats-Unis;AMC;episode01-410431-11102023-saison2-Cooper-s-Bar.html;None
199;Cooper's Bar;2;2;11-10-2023;Etats-Unis;AMC;episode02-411062-11102023-saison2-Cooper-s-Bar.html;None
200;Demain nous appartient;38;7;11-10-2023;France;TF1;episode38-411035-11102023-saison7-Demain-nous-appartient.html;None
201;Hans River Police;9;1;11-10-2023;Etats-Unis;Disney+;episode09-409974-11102023-saison1-Hans-River-Police.html;None
202;Hans River Police;10;1;11-10-2023;Etats-Unis;Disney+;episode10-409975-11102023-saison1-Hans-River-Police.html;None
203;Hudson & Rex;2;6;11-10-2023;Canada;Citytv;episode02-410259-11102023-saison6-Hudson--Rex.html;None
204;Ici tout commence;33;4;11-10-2023;France;TF1;episode33-411040-11102023-saison4-Ici-tout-commence.html;None
205;Invasion (2021);8;2;11-10-2023;Etats-Unis;Apple TV+;episode08-407972-11102023-saison2-Invasion-(2021).html;52
206;La Mesias;1;1;11-10-2023;Espagne;Moviestar+;episode01-410340-11102023-saison1-La-Mesias.html;None
207;La Mesias;2;1;11-10-2023;Espagne;Moviestar+;episode02-410544-11102023-saison1-La-Mesias.html;None
208;Magnum P.I. (2018);12;5;11-10-2023;Etats-Unis;NBC;episode12-410783-11102023-saison5-Magnum-PI-(2018).html;None
209;Nada;1;1;11-10-2023;Espagne;Star+;episode01-410264-11102023-saison1-Nada.html;None
210;Nada;2;1;11-10-2023;Espagne;Star+;episode02-411069-11102023-saison1-Nada.html;None
211;Nada;3;1;11-10-2023;Espagne;Star+;episode03-411070-11102023-saison1-Nada.html;None
212;Nada;4;1;11-10-2023;Espagne;Star+;episode04-411071-11102023-saison1-Nada.html;None
213;Nada;5;1;11-10-2023;Espagne;Star+;episode05-411072-11102023-saison1-Nada.html;None
214;Pacto de Silencio;1;1;11-10-2023;Etats-Unis;Netflix;episode01-410272-11102023-saison1-Pacto-de-Silencio.html;None
215;Pacto de Silencio;2;1;11-10-2023;Etats-Unis;Netflix;episode02-411073-11102023-saison1-Pacto-de-Silencio.html;None
216;Pacto de Silencio;3;1;11-10-2023;Etats-Unis;Netflix;episode03-411074-11102023-saison1-Pacto-de-Silencio.html;None
217;Pacto de Silencio;4;1;11-10-2023;Etats-Unis;Netflix;episode04-411075-11102023-saison1-Pacto-de-Silencio.html;None
218;Pacto de Silencio;5;1;11-10-2023;Etats-Unis;Netflix;episode05-411076-11102023-saison1-Pacto-de-Silencio.html;None
219;Pacto de Silencio;6;1;11-10-2023;Etats-Unis;Netflix;episode06-411077-11102023-saison1-Pacto-de-Silencio.html;None
220;Pacto de Silencio;7;1;11-10-2023;Etats-Unis;Netflix;episode07-411078-11102023-saison1-Pacto-de-Silencio.html;None
221;Pacto de Silencio;8;1;11-10-2023;Etats-Unis;Netflix;episode08-411079-11102023-saison1-Pacto-de-Silencio.html;None
222;Pacto de Silencio;9;1;11-10-2023;Etats-Unis;Netflix;episode09-411080-11102023-saison1-Pacto-de-Silencio.html;None
223;Pacto de Silencio;10;1;11-10-2023;Etats-Unis;Netflix;episode10-411081-11102023-saison1-Pacto-de-Silencio.html;None
224;Pacto de Silencio;11;1;11-10-2023;Etats-Unis;Netflix;episode11-411082-11102023-saison1-Pacto-de-Silencio.html;None
225;Pacto de Silencio;12;1;11-10-2023;Etats-Unis;Netflix;episode12-411083-11102023-saison1-Pacto-de-Silencio.html;None
226;Pacto de Silencio;13;1;11-10-2023;Etats-Unis;Netflix;episode13-411084-11102023-saison1-Pacto-de-Silencio.html;None
227;Pacto de Silencio;14;1;11-10-2023;Etats-Unis;Netflix;episode14-411085-11102023-saison1-Pacto-de-Silencio.html;None
228;Pacto de Silencio;15;1;11-10-2023;Etats-Unis;Netflix;episode15-411086-11102023-saison1-Pacto-de-Silencio.html;None
229;Pacto de Silencio;16;1;11-10-2023;Etats-Unis;Netflix;episode16-411087-11102023-saison1-Pacto-de-Silencio.html;None
230;Pacto de Silencio;17;1;11-10-2023;Etats-Unis;Netflix;episode17-411088-11102023-saison1-Pacto-de-Silencio.html;None
231;Pacto de Silencio;18;1;11-10-2023;Etats-Unis;Netflix;episode18-411089-11102023-saison1-Pacto-de-Silencio.html;None
232;Quantum Leap (2022);2;2;11-10-2023;Etats-Unis;NBC;episode02-409735-11102023-saison2-Quantum-Leap-(2022).html;None
233;Robyn Hood;3;1;11-10-2023;Canada;Global;episode03-410950-11102023-saison1-Robyn-Hood.html;None
234;SurrealEstate;2;2;11-10-2023;Etats-Unis;Syfy;episode02-410804-11102023-saison2-SurrealEstate.html;None
235;The Morning Show;6;3;11-10-2023;Etats-Unis;Apple TV+;episode06-407701-11102023-saison3-The-Morning-Show.html;50
236;The Worst of Evil;6;1;11-10-2023;Etats-Unis;Disney+;episode06-410768-11102023-saison1-The-Worst-of-Evil.html;None
237;The Worst of Evil;7;1;11-10-2023;Etats-Unis;Disney+;episode07-410769-11102023-saison1-The-Worst-of-Evil.html;None
238;Un Si Grand Soleil;28;6;11-10-2023;France;France 2;episode28-411044-11102023-saison6-Un-Si-Grand-Soleil.html;None
239;Young Dylan;6;4;11-10-2023;Etats-Unis;Nickelodeon;episode06-410624-11102023-saison4-Young-Dylan.html;None
240;All Creatures Great and Small (2020);2;4;12-10-2023;Royaume-Uni;Channel 5;episode02-410698-12102023-saison4-All-Creatures-Great-and-Small-(2020).html;None
241;Alphonse;1;1;12-10-2023;Etats-Unis;Prime Video;episode01-411024-12102023-saison1-Alphonse.html;None
242;Alphonse;2;1;12-10-2023;Etats-Unis;Prime Video;episode02-411131-12102023-saison1-Alphonse.html;None
243;Alphonse;3;1;12-10-2023;Etats-Unis;Prime Video;episode03-411132-12102023-saison1-Alphonse.html;None
244;À La Carte;5;2;12-10-2023;Etats-Unis;ALLBLK;episode05-410518-12102023-saison2-A-La-Carte.html;None
245;Cobra (UK);1;3;12-10-2023;Royaume-Uni;Sky1;episode01-410604-12102023-saison3-Cobra-(UK).html;None
246;Cobra (UK);2;3;12-10-2023;Royaume-Uni;Sky1;episode02-411133-12102023-saison3-Cobra-(UK).html;None
247;Cobra (UK);3;3;12-10-2023;Royaume-Uni;Sky1;episode03-411134-12102023-saison3-Cobra-(UK).html;None
248;Cobra (UK);4;3;12-10-2023;Royaume-Uni;Sky1;episode04-411135-12102023-saison3-Cobra-(UK).html;None
249;Cobra (UK);5;3;12-10-2023;Royaume-Uni;Sky1;episode05-411136-12102023-saison3-Cobra-(UK).html;None
250;Cobra (UK);6;3;12-10-2023;Royaume-Uni;Sky1;episode06-411137-12102023-saison3-Cobra-(UK).html;None
251;Demain nous appartient;39;7;12-10-2023;France;TF1;episode39-411036-12102023-saison7-Demain-nous-appartient.html;None
252;Doom Patrol;7;4;12-10-2023;Etats-Unis;HBO Max;episode07-410004-12102023-saison4-Doom-Patrol.html;None
253;Doom Patrol;8;4;12-10-2023;Etats-Unis;HBO Max;episode08-410005-12102023-saison4-Doom-Patrol.html;None
254;Frasier (2023);1;1;12-10-2023;Etats-Unis;Paramount+;episode01-409723-12102023-saison1-Frasier-(2023).html;None
255;Frasier (2023);2;1;12-10-2023;Etats-Unis;Paramount+;episode02-409724-12102023-saison1-Frasier-(2023).html;None
256;Ici tout commence;34;4;12-10-2023;France;TF1;episode34-411041-12102023-saison4-Ici-tout-commence.html;None
257;Les révoltés;7;1;12-10-2023;Canada;Club illico ;episode07-411203-12102023-saison1-Les-revoltes.html;None
258;Les révoltés;8;1;12-10-2023;Canada;Club illico ;episode08-411204-12102023-saison1-Les-revoltes.html;None
259;Loki;2;2;12-10-2023;Etats-Unis;Disney+;episode02-410902-12102023-saison2-Loki.html;None
260;LT-21;1;1;12-10-2023;France;OCS;episode01-408962-12102023-saison1-LT-21.html;None
261;LT-21;2;1;12-10-2023;France;OCS;episode02-408963-12102023-saison1-LT-21.html;None
262;Nackt über Berlin;1;1;12-10-2023;France;Arte;episode01-410608-12102023-saison1-Nackt-uber-Berlin.html;None
263;Nackt über Berlin;2;1;12-10-2023;France;Arte;episode02-410609-12102023-saison1-Nackt-uber-Berlin.html;None
264;Nackt über Berlin;3;1;12-10-2023;France;Arte;episode03-410610-12102023-saison1-Nackt-uber-Berlin.html;None
265;Our Flag Means Death;4;2;12-10-2023;Etats-Unis;HBO Max;episode04-409665-12102023-saison2-Our-Flag-Means-Death.html;None
266;Our Flag Means Death;5;2;12-10-2023;Etats-Unis;HBO Max;episode05-409666-12102023-saison2-Our-Flag-Means-Death.html;None
267;Star Trek: Lower Decks;7;4;12-10-2023;Etats-Unis;Paramount+;episode07-409761-12102023-saison4-Star-Trek-Lower-Decks.html;None
268;The Fall of the House of Usher;1;1;12-10-2023;Etats-Unis;Netflix;episode01-408906-12102023-saison1-The-Fall-of-the-House-of-Usher.html;None
269;The Fall of the House of Usher;2;1;12-10-2023;Etats-Unis;Netflix;episode02-411090-12102023-saison1-The-Fall-of-the-House-of-Usher.html;None
270;The Fall of the House of Usher;3;1;12-10-2023;Etats-Unis;Netflix;episode03-411091-12102023-saison1-The-Fall-of-the-House-of-Usher.html;None
271;The Fall of the House of Usher;4;1;12-10-2023;Etats-Unis;Netflix;episode04-411092-12102023-saison1-The-Fall-of-the-House-of-Usher.html;None
272;The Fall of the House of Usher;5;1;12-10-2023;Etats-Unis;Netflix;episode05-411093-12102023-saison1-The-Fall-of-the-House-of-Usher.html;None
273;The Fall of the House of Usher;6;1;12-10-2023;Etats-Unis;Netflix;episode06-411094-12102023-saison1-The-Fall-of-the-House-of-Usher.html;None
274;The Fall of the House of Usher;7;1;12-10-2023;Etats-Unis;Netflix;episode07-411095-12102023-saison1-The-Fall-of-the-House-of-Usher.html;None
275;The Fall of the House of Usher;8;1;12-10-2023;Etats-Unis;Netflix;episode08-411096-12102023-saison1-The-Fall-of-the-House-of-Usher.html;None
276;Un Si Grand Soleil;29;6;12-10-2023;France;France 2;episode29-411045-12102023-saison6-Un-Si-Grand-Soleil.html;None
277;Billions;10;7;13-10-2023;Etats-Unis;Showtime;episode10-409767-13102023-saison7-Billions.html;None
278;Bria Mack Gets A Life;1;1;13-10-2023;Canada;CraveTV;episode01-410332-13102023-saison1-Bria-Mack-Gets-A-Life.html;None
279;Bria Mack Gets A Life;2;1;13-10-2023;Canada;CraveTV;episode02-410333-13102023-saison1-Bria-Mack-Gets-A-Life.html;None
280;Bria Mack Gets A Life;3;1;13-10-2023;Canada;CraveTV;episode03-410334-13102023-saison1-Bria-Mack-Gets-A-Life.html;None
281;Creepshow;1;4;13-10-2023;Etats-Unis;Shudder;episode01-410146-13102023-saison4-Creepshow.html;None
282;Demain nous appartient;40;7;13-10-2023;France;TF1;episode40-411037-13102023-saison7-Demain-nous-appartient.html;None
283;Die Quellen des Bösen;1;1;13-10-2023;Allemagne;RTL;episode01-411207-13102023-saison1-Die-Quellen-des-Bosen.html;None
284;Die Quellen des Bösen;2;1;13-10-2023;Allemagne;RTL;episode02-411208-13102023-saison1-Die-Quellen-des-Bosen.html;None
285;Die Quellen des Bösen;3;1;13-10-2023;Allemagne;RTL;episode03-411209-13102023-saison1-Die-Quellen-des-Bosen.html;None
286;Die Quellen des Bösen;4;1;13-10-2023;Allemagne;RTL;episode04-411210-13102023-saison1-Die-Quellen-des-Bosen.html;None
287;Die Quellen des Bösen;5;1;13-10-2023;Allemagne;RTL;episode05-411211-13102023-saison1-Die-Quellen-des-Bosen.html;None
288;Die Quellen des Bösen;6;1;13-10-2023;Allemagne;RTL;episode06-411212-13102023-saison1-Die-Quellen-des-Bosen.html;None
289;Familjen Andersson;9;1;13-10-2023;Suède;SVT Play;episode09-409540-13102023-saison1-Familjen-Andersson.html;None
290;Gaslight;7;1;13-10-2023;Suède;SVT Play;episode07-410683-13102023-saison1-Gaslight.html;None
291;Gaslight;8;1;13-10-2023;Suède;SVT Play;episode08-410684-13102023-saison1-Gaslight.html;None
292;Gaslight;9;1;13-10-2023;Suède;SVT Play;episode09-410685-13102023-saison1-Gaslight.html;None
293;Gen V;5;1;13-10-2023;Etats-Unis;Prime Video;episode05-408429-13102023-saison1-Gen-V.html;None
294;Goosebumps (2023);1;1;13-10-2023;Etats-Unis;Disney+;episode01-409978-13102023-saison1-Goosebumps-(2023).html;None
295;Goosebumps (2023);2;1;13-10-2023;Etats-Unis;Disney+;episode02-409979-13102023-saison1-Goosebumps-(2023).html;None
296;Goosebumps (2023);3;1;13-10-2023;Etats-Unis;Disney+;episode03-409980-13102023-saison1-Goosebumps-(2023).html;None
297;Goosebumps (2023);4;1;13-10-2023;Etats-Unis;Disney+;episode04-409981-13102023-saison1-Goosebumps-(2023).html;None
298;Goosebumps (2023);5;1;13-10-2023;Etats-Unis;Disney+;episode05-409982-13102023-saison1-Goosebumps-(2023).html;None
299;Ici tout commence;35;4;13-10-2023;France;TF1;episode35-411042-13102023-saison4-Ici-tout-commence.html;None
300;John Carpenter's Suburban Screams;1;1;13-10-2023;Etats-Unis;Peacock;episode01-410425-13102023-saison1-John-Carpenter-s-Suburban-Screams.html;None
301;Lessons In Chemistry;1;1;13-10-2023;Etats-Unis;Apple TV+;episode01-406597-13102023-saison1-Lessons-In-Chemistry.html;54
302;Lessons In Chemistry;2;1;13-10-2023;Etats-Unis;Apple TV+;episode02-406598-13102023-saison1-Lessons-In-Chemistry.html;54
303;Power Book IV: Force;7;2;13-10-2023;Etats-Unis;Starz;episode07-410802-13102023-saison2-Power-Book-IV-Force.html;None
304;Shining Vale;1;2;13-10-2023;Etats-Unis;Starz;episode01-409054-13102023-saison2-Shining-Vale.html;None
305;Shoresy;4;2;13-10-2023;Canada;CraveTV;episode04-410867-13102023-saison2-Shoresy.html;None
306;SOKO Leipzig;8;24;13-10-2023;Allemagne;ZDF;episode08-410562-13102023-saison24-SOKO-Leipzig.html;None
307;Solsidan;4;8;13-10-2023;Suède;TV4;episode04-411053-13102023-saison8-Solsidan.html;None
308;Still Up;6;1;13-10-2023;Etats-Unis;Apple TV+;episode06-408947-13102023-saison1-Still-Up.html;45
309;The Changeling;8;1;13-10-2023;Etats-Unis;Apple TV+;episode08-408183-13102023-saison1-The-Changeling.html;50
310;The Good Ship Murder;1;1;13-10-2023;Royaume-Uni;Channel 5;episode01-410952-13102023-saison1-The-Good-Ship-Murder.html;None
311;Transplant;2;4;13-10-2023;Canada;CTV;episode02-409737-13102023-saison4-Transplant.html;None
312;Un Si Grand Soleil;30;6;13-10-2023;France;France 2;episode30-411046-13102023-saison6-Un-Si-Grand-Soleil.html;None
313;All Rise;15;3;14-10-2023;Etats-Unis;OWN;episode15-410329-14102023-saison3-All-Rise.html;None
314;Arthdal Chronicles;11;2;14-10-2023;Corée du Sud;tvN;episode11-411012-14102023-saison2-Arthdal-Chronicles.html;None
315;Boomer;7;1;14-10-2023;Belgique;Één;episode07-409828-14102023-saison1-Boomer.html;None
316;Arthdal Chronicles;12;2;15-10-2023;Corée du Sud;tvN;episode12-411013-15102023-saison2-Arthdal-Chronicles.html;None
317;Billy the Kid;1;2;15-10-2023;Etats-Unis;Epix;episode01-409587-15102023-saison2-Billy-the-Kid.html;None
318;Entre Tierras;6;1;15-10-2023;Espagne;ATRESplayer;episode06-410972-15102023-saison1-Entre-Tierras.html;None
319;Heartland (CA);3;17;15-10-2023;Canada;CBC;episode03-410869-15102023-saison17-Heartland-(CA).html;None
320;Last Week Tonight With John Oliver;13;10;15-10-2023;Etats-Unis;HBO;episode13-411282-15102023-saison10-Last-Week-Tonight-With-John-Oliver.html;None
321;Les Mystères de l'amour;10;33;15-10-2023;France;TMC;episode10-410795-15102023-saison33-Les-Mysteres-de-l-amour.html;None
322;Pantheon;1;2;15-10-2023;Etats-Unis;Prime Video;episode01-411163-15102023-saison2-Pantheon.html;None
323;Pantheon;2;2;15-10-2023;Etats-Unis;Prime Video;episode02-411164-15102023-saison2-Pantheon.html;None
324;Pantheon;3;2;15-10-2023;Etats-Unis;Prime Video;episode03-411165-15102023-saison2-Pantheon.html;None
325;Pantheon;4;2;15-10-2023;Etats-Unis;Prime Video;episode04-411166-15102023-saison2-Pantheon.html;None
326;Pantheon;5;2;15-10-2023;Etats-Unis;Prime Video;episode05-411167-15102023-saison2-Pantheon.html;None
327;Pantheon;6;2;15-10-2023;Etats-Unis;Prime Video;episode06-411168-15102023-saison2-Pantheon.html;None
328;Pantheon;7;2;15-10-2023;Etats-Unis;Prime Video;episode07-411169-15102023-saison2-Pantheon.html;None
329;Pantheon;8;2;15-10-2023;Etats-Unis;Prime Video;episode08-411170-15102023-saison2-Pantheon.html;None
330;Rick and Morty;1;7;15-10-2023;Etats-Unis;Adult Swim;episode01-409644-15102023-saison7-Rick-and-Morty.html;None
331;SkyMed;3;2;15-10-2023;Canada;CBC Gem;episode03-410741-15102023-saison2-SkyMed.html;None
332;The Walking Dead: Daryl Dixon;6;1;15-10-2023;Etats-Unis;AMC;episode06-409849-15102023-saison1-The-Walking-Dead-Daryl-Dixon.html;None
333;The Winter King;7;1;15-10-2023;Royaume-Uni;ITVX;episode07-409133-15102023-saison1-The-Winter-King.html;None
334;When Calls the Heart;12;10;15-10-2023;Etats-Unis;Hallmark Channel;episode12-407541-15102023-saison10-When-Calls-the-Heart.html;None
335;5è Rang;6;6;16-10-2023;Canada;Radio Canada;episode06-411292-16102023-saison6-5e-Rang.html;None
336;Acting Good;1;2;16-10-2023;Canada;The Comedy Network;episode01-411121-16102023-saison2-Acting-Good.html;None
337;D'argent et de sang;1;1;16-10-2023;France;Canal+;episode01-410171-16102023-saison1-D-argent-et-de-sang.html;None
338;Harry Wild;3;2;16-10-2023;Etats-Unis;Acorn TV;episode03-410201-16102023-saison2-Harry-Wild.html;None
339;Murdoch Mysteries;3;17;16-10-2023;Canada;Citytv;episode03-410870-16102023-saison17-Murdoch-Mysteries.html;None
340;Narvalo;6;3;16-10-2023;France;Canal+;episode06-410630-16102023-saison3-Narvalo.html;None
341;SOKO Potsdam;4;6;16-10-2023;Allemagne;ZDF;episode04-410909-16102023-saison6-SOKO-Potsdam.html;None
342;The Irrational;4;1;16-10-2023;Etats-Unis;NBC;episode04-409863-16102023-saison1-The-Irrational.html;None
343;Found;3;1;17-10-2023;Etats-Unis;NBC;episode03-409894-17102023-saison1-Found.html;None
344;The Oval;1;5;17-10-2023;Etats-Unis;BET;episode01-410192-17102023-saison5-The-Oval.html;None
345;American Horror Story;5;12;18-10-2023;Etats-Unis;FX;episode05-410785-18102023-saison12-American-Horror-Story.html;None
346;Bones of Crows;5;1;18-10-2023;Canada;CBC;episode05-410805-18102023-saison1-Bones-of-Crows.html;None
347;Children Ruin Everything;4;3;18-10-2023;Canada;CTV;episode04-411015-18102023-saison3-Children-Ruin-Everything.html;None
348;Chucky;3;3;18-10-2023;Etats-Unis;Syfy;episode03-409116-18102023-saison3-Chucky.html;None
349;Cooper's Bar;3;2;18-10-2023;Etats-Unis;AMC;episode03-411063-18102023-saison2-Cooper-s-Bar.html;None
350;Hudson & Rex;3;6;18-10-2023;Canada;Citytv;episode03-411097-18102023-saison6-Hudson--Rex.html;None
351;Invasion (2021);9;2;18-10-2023;Etats-Unis;Apple TV+;episode09-407973-18102023-saison2-Invasion-(2021).html;52
352;Kaala Paani;1;1;18-10-2023;Etats-Unis;Netflix;episode01-410946-18102023-saison1-Kaala-Paani.html;None
353;Kaala Paani;2;1;18-10-2023;Etats-Unis;Netflix;episode02-411286-18102023-saison1-Kaala-Paani.html;None
354;Kaala Paani;3;1;18-10-2023;Etats-Unis;Netflix;episode03-411287-18102023-saison1-Kaala-Paani.html;None
355;Kaala Paani;4;1;18-10-2023;Etats-Unis;Netflix;episode04-411288-18102023-saison1-Kaala-Paani.html;None
356;Kaala Paani;5;1;18-10-2023;Etats-Unis;Netflix;episode05-411289-18102023-saison1-Kaala-Paani.html;None
357;Kaala Paani;6;1;18-10-2023;Etats-Unis;Netflix;episode06-411290-18102023-saison1-Kaala-Paani.html;None
358;Kaala Paani;7;1;18-10-2023;Etats-Unis;Netflix;episode07-411291-18102023-saison1-Kaala-Paani.html;None
359;Les invisibles (FRA);1;3;18-10-2023;France;France.tv;episode01-411303-18102023-saison3-Les-invisibles-(FRA).html;None
360;Les invisibles (FRA);2;3;18-10-2023;France;France.tv;episode02-411304-18102023-saison3-Les-invisibles-(FRA).html;None
361;Les invisibles (FRA);3;3;18-10-2023;France;France.tv;episode03-411305-18102023-saison3-Les-invisibles-(FRA).html;None
362;Les invisibles (FRA);4;3;18-10-2023;France;France.tv;episode04-411306-18102023-saison3-Les-invisibles-(FRA).html;None
363;Les invisibles (FRA);5;3;18-10-2023;France;France.tv;episode05-411307-18102023-saison3-Les-invisibles-(FRA).html;None
364;Les invisibles (FRA);6;3;18-10-2023;France;France.tv;episode06-411308-18102023-saison3-Les-invisibles-(FRA).html;None
365;Magnum P.I. (2018);13;5;18-10-2023;Etats-Unis;NBC;episode13-410784-18102023-saison5-Magnum-PI-(2018).html;None
366;Quantum Leap (2022);3;2;18-10-2023;Etats-Unis;NBC;episode03-409964-18102023-saison2-Quantum-Leap-(2022).html;None
367;Robyn Hood;4;1;18-10-2023;Canada;Global;episode04-410951-18102023-saison1-Robyn-Hood.html;None
368;Sistas;12;6;18-10-2023;Etats-Unis;BET;episode12-410186-18102023-saison6-Sistas.html;None
369;SurrealEstate;3;2;18-10-2023;Etats-Unis;Syfy;episode03-410882-18102023-saison2-SurrealEstate.html;None
370;The Morning Show;7;3;18-10-2023;Etats-Unis;Apple TV+;episode07-407702-18102023-saison3-The-Morning-Show.html;50
371;The Worst of Evil;8;1;18-10-2023;Etats-Unis;Disney+;episode08-410770-18102023-saison1-The-Worst-of-Evil.html;None
372;The Worst of Evil;9;1;18-10-2023;Etats-Unis;Disney+;episode09-410771-18102023-saison1-The-Worst-of-Evil.html;None
373;Young Dylan;7;4;18-10-2023;Etats-Unis;Nickelodeon;episode07-410806-18102023-saison4-Young-Dylan.html;None
374;All Creatures Great and Small (2020);3;4;19-10-2023;Royaume-Uni;Channel 5;episode03-410817-19102023-saison4-All-Creatures-Great-and-Small-(2020).html;None
375;À La Carte;6;2;19-10-2023;Etats-Unis;ALLBLK;episode06-410519-19102023-saison2-A-La-Carte.html;None
376;Bodies (2023);1;1;19-10-2023;Etats-Unis;Netflix;episode01-409738-19102023-saison1-Bodies-(2023).html;None
377;Bodies (2023);2;1;19-10-2023;Etats-Unis;Netflix;episode02-409150-19102023-saison1-Bodies-(2023).html;None
378;Bodies (2023);3;1;19-10-2023;Etats-Unis;Netflix;episode03-409149-19102023-saison1-Bodies-(2023).html;None
379;Bodies (2023);4;1;19-10-2023;Etats-Unis;Netflix;episode04-409148-19102023-saison1-Bodies-(2023).html;None
380;Bodies (2023);5;1;19-10-2023;Etats-Unis;Netflix;episode05-411058-19102023-saison1-Bodies-(2023).html;None
381;Bodies (2023);6;1;19-10-2023;Etats-Unis;Netflix;episode06-411059-19102023-saison1-Bodies-(2023).html;None
382;Bodies (2023);7;1;19-10-2023;Etats-Unis;Netflix;episode07-411060-19102023-saison1-Bodies-(2023).html;None
383;Bodies (2023);8;1;19-10-2023;Etats-Unis;Netflix;episode08-411061-19102023-saison1-Bodies-(2023).html;None
