;series_name;episode_number;season_number;air_date;origin_country;channel;episode_url;duration
384;Doom Patrol;9;4;19-10-2023;Etats-Unis;HBO Max;episode09-410006-19102023-saison4-Doom-Patrol.html;None
385;Frasier (2023);3;1;19-10-2023;Etats-Unis;Paramount+;episode03-409725-19102023-saison1-Frasier-(2023).html;None
386;La Mesias;3;1;19-10-2023;Espagne;Moviestar+;episode03-410545-19102023-saison1-La-Mesias.html;None
387;Les révoltés;9;1;19-10-2023;Canada;Club illico ;episode09-411205-19102023-saison1-Les-revoltes.html;None
388;Les révoltés;10;1;19-10-2023;Canada;Club illico ;episode10-411206-19102023-saison1-Les-revoltes.html;None
389;Loki;3;2;19-10-2023;Etats-Unis;Disney+;episode03-410903-19102023-saison2-Loki.html;None
390;LT-21;3;1;19-10-2023;France;OCS;episode03-408964-19102023-saison1-LT-21.html;None
391;LT-21;4;1;19-10-2023;France;OCS;episode04-408965-19102023-saison1-LT-21.html;None
392;Nackt über Berlin;4;1;19-10-2023;France;Arte;episode04-410611-19102023-saison1-Nackt-uber-Berlin.html;None
393;Nackt über Berlin;5;1;19-10-2023;France;Arte;episode05-410612-19102023-saison1-Nackt-uber-Berlin.html;None
394;Nackt über Berlin;6;1;19-10-2023;France;Arte;episode06-410613-19102023-saison1-Nackt-uber-Berlin.html;None
395;Neon;1;1;19-10-2023;Etats-Unis;Netflix;episode01-409747-19102023-saison1-Neon.html;None
396;Neon;2;1;19-10-2023;Etats-Unis;Netflix;episode02-409748-19102023-saison1-Neon.html;None
397;Neon;3;1;19-10-2023;Etats-Unis;Netflix;episode03-409749-19102023-saison1-Neon.html;None
398;Neon;4;1;19-10-2023;Etats-Unis;Netflix;episode04-409750-19102023-saison1-Neon.html;None
399;Neon;5;1;19-10-2023;Etats-Unis;Netflix;episode05-409751-19102023-saison1-Neon.html;None
400;Neon;6;1;19-10-2023;Etats-Unis;Netflix;episode06-409752-19102023-saison1-Neon.html;None
401;Neon;7;1;19-10-2023;Etats-Unis;Netflix;episode07-409753-19102023-saison1-Neon.html;None
402;Neon;8;1;19-10-2023;Etats-Unis;Netflix;episode08-409754-19102023-saison1-Neon.html;None
403;Our Flag Means Death;6;2;19-10-2023;Etats-Unis;HBO Max;episode06-409667-19102023-saison2-Our-Flag-Means-Death.html;None
404;Our Flag Means Death;7;2;19-10-2023;Etats-Unis;HBO Max;episode07-409668-19102023-saison2-Our-Flag-Means-Death.html;None
405;Star Trek: Lower Decks;8;4;19-10-2023;Etats-Unis;Paramount+;episode08-409762-19102023-saison4-Star-Trek-Lower-Decks.html;None
406;The Burning Girls;1;1;19-10-2023;Etats-Unis;Paramount+;episode01-410587-19102023-saison1-The-Burning-Girls.html;None
407;The Burning Girls;2;1;19-10-2023;Etats-Unis;Paramount+;episode02-411309-19102023-saison1-The-Burning-Girls.html;None
408;The Burning Girls;3;1;19-10-2023;Etats-Unis;Paramount+;episode03-411310-19102023-saison1-The-Burning-Girls.html;None
409;The Burning Girls;4;1;19-10-2023;Etats-Unis;Paramount+;episode04-411311-19102023-saison1-The-Burning-Girls.html;None
410;The Burning Girls;5;1;19-10-2023;Etats-Unis;Paramount+;episode05-411312-19102023-saison1-The-Burning-Girls.html;None
411;The Burning Girls;6;1;19-10-2023;Etats-Unis;Paramount+;episode06-411313-19102023-saison1-The-Burning-Girls.html;None
412;Wicked City (2022);1;2;19-10-2023;Etats-Unis;ALLBLK;episode01-411118-19102023-saison2-Wicked-City-(2022).html;None
413;Wolf Like Me;1;2;19-10-2023;Etats-Unis;Peacock;episode01-409700-19102023-saison2-Wolf-Like-Me.html;None
414;Wolf Like Me;2;2;19-10-2023;Etats-Unis;Peacock;episode02-409701-19102023-saison2-Wolf-Like-Me.html;None
415;Wolf Like Me;3;2;19-10-2023;Etats-Unis;Peacock;episode03-409702-19102023-saison2-Wolf-Like-Me.html;None
416;Wolf Like Me;4;2;19-10-2023;Etats-Unis;Peacock;episode04-409703-19102023-saison2-Wolf-Like-Me.html;None
417;Wolf Like Me;5;2;19-10-2023;Etats-Unis;Peacock;episode05-409704-19102023-saison2-Wolf-Like-Me.html;None
418;Wolf Like Me;6;2;19-10-2023;Etats-Unis;Peacock;episode06-409705-19102023-saison2-Wolf-Like-Me.html;None
419;Wolf Like Me;7;2;19-10-2023;Etats-Unis;Peacock;episode07-409706-19102023-saison2-Wolf-Like-Me.html;None
420;Big Mouth;1;7;20-10-2023;Etats-Unis;Netflix;episode01-410260-20102023-saison7-Big-Mouth.html;None
421;Big Mouth;2;7;20-10-2023;Etats-Unis;Netflix;episode02-411318-20102023-saison7-Big-Mouth.html;None
422;Big Mouth;3;7;20-10-2023;Etats-Unis;Netflix;episode03-411319-20102023-saison7-Big-Mouth.html;None
423;Big Mouth;4;7;20-10-2023;Etats-Unis;Netflix;episode04-411320-20102023-saison7-Big-Mouth.html;None
424;Big Mouth;5;7;20-10-2023;Etats-Unis;Netflix;episode05-411321-20102023-saison7-Big-Mouth.html;None
425;Big Mouth;6;7;20-10-2023;Etats-Unis;Netflix;episode06-411322-20102023-saison7-Big-Mouth.html;None
426;Big Mouth;7;7;20-10-2023;Etats-Unis;Netflix;episode07-411323-20102023-saison7-Big-Mouth.html;None
427;Big Mouth;8;7;20-10-2023;Etats-Unis;Netflix;episode08-411324-20102023-saison7-Big-Mouth.html;None
428;Big Mouth;9;7;20-10-2023;Etats-Unis;Netflix;episode09-411325-20102023-saison7-Big-Mouth.html;None
429;Big Mouth;10;7;20-10-2023;Etats-Unis;Netflix;episode10-411326-20102023-saison7-Big-Mouth.html;None
430;Billions;11;7;20-10-2023;Etats-Unis;Showtime;episode11-409776-20102023-saison7-Billions.html;None
431;Bosch: Legacy;1;2;20-10-2023;Etats-Unis;Amazon Freevee;episode01-409707-20102023-saison2-Bosch-Legacy.html;None
432;Bosch: Legacy;2;2;20-10-2023;Etats-Unis;Amazon Freevee;episode02-409708-20102023-saison2-Bosch-Legacy.html;None
433;Bosch: Legacy;3;2;20-10-2023;Etats-Unis;Amazon Freevee;episode03-409709-20102023-saison2-Bosch-Legacy.html;None
434;Bosch: Legacy;4;2;20-10-2023;Etats-Unis;Amazon Freevee;episode04-409710-20102023-saison2-Bosch-Legacy.html;None
435;Bria Mack Gets A Life;4;1;20-10-2023;Canada;CraveTV;episode04-410335-20102023-saison1-Bria-Mack-Gets-A-Life.html;None
436;Bria Mack Gets A Life;5;1;20-10-2023;Canada;CraveTV;episode05-410336-20102023-saison1-Bria-Mack-Gets-A-Life.html;None
437;Bria Mack Gets A Life;6;1;20-10-2023;Canada;CraveTV;episode06-410337-20102023-saison1-Bria-Mack-Gets-A-Life.html;None
438;Doona!;1;1;20-10-2023;Etats-Unis;Netflix;episode01-410162-20102023-saison1-Doona.html;None
439;Doona!;2;1;20-10-2023;Etats-Unis;Netflix;episode02-410163-20102023-saison1-Doona.html;None
440;Doona!;3;1;20-10-2023;Etats-Unis;Netflix;episode03-410164-20102023-saison1-Doona.html;None
441;Doona!;4;1;20-10-2023;Etats-Unis;Netflix;episode04-410165-20102023-saison1-Doona.html;None
442;Doona!;5;1;20-10-2023;Etats-Unis;Netflix;episode05-410166-20102023-saison1-Doona.html;None
443;Doona!;6;1;20-10-2023;Etats-Unis;Netflix;episode06-410167-20102023-saison1-Doona.html;None
444;Doona!;7;1;20-10-2023;Etats-Unis;Netflix;episode07-410168-20102023-saison1-Doona.html;None
445;Doona!;8;1;20-10-2023;Etats-Unis;Netflix;episode08-410169-20102023-saison1-Doona.html;None
446;Doona!;9;1;20-10-2023;Etats-Unis;Netflix;episode09-410170-20102023-saison1-Doona.html;None
447;Élite;1;7;20-10-2023;Etats-Unis;Netflix;episode01-407350-20102023-saison7-Elite.html;None
448;Élite;2;7;20-10-2023;Etats-Unis;Netflix;episode02-407351-20102023-saison7-Elite.html;None
449;Élite;3;7;20-10-2023;Etats-Unis;Netflix;episode03-407352-20102023-saison7-Elite.html;None
450;Élite;4;7;20-10-2023;Etats-Unis;Netflix;episode04-407353-20102023-saison7-Elite.html;None
451;Élite;5;7;20-10-2023;Etats-Unis;Netflix;episode05-407354-20102023-saison7-Elite.html;None
452;Élite;6;7;20-10-2023;Etats-Unis;Netflix;episode06-407355-20102023-saison7-Elite.html;None
453;Élite;7;7;20-10-2023;Etats-Unis;Netflix;episode07-407356-20102023-saison7-Elite.html;None
454;Élite;8;7;20-10-2023;Etats-Unis;Netflix;episode08-407357-20102023-saison7-Elite.html;None
455;Familjen Andersson;10;1;20-10-2023;Suède;SVT Play;episode10-409541-20102023-saison1-Familjen-Andersson.html;None
456;Gen V;6;1;20-10-2023;Etats-Unis;Prime Video;episode06-408430-20102023-saison1-Gen-V.html;None
457;Goosebumps (2023);6;1;20-10-2023;Etats-Unis;Disney+;episode06-409983-20102023-saison1-Goosebumps-(2023).html;None
458;Lessons In Chemistry;3;1;20-10-2023;Etats-Unis;Apple TV+;episode03-406599-20102023-saison1-Lessons-In-Chemistry.html;54
459;Power Book IV: Force;8;2;20-10-2023;Etats-Unis;Starz;episode08-410987-20102023-saison2-Power-Book-IV-Force.html;None
460;Shining Vale;2;2;20-10-2023;Etats-Unis;Starz;episode02-411122-20102023-saison2-Shining-Vale.html;None
461;SOKO Leipzig;9;24;20-10-2023;Allemagne;ZDF;episode09-410563-20102023-saison24-SOKO-Leipzig.html;None
462;Still Up;7;1;20-10-2023;Etats-Unis;Apple TV+;episode07-408948-20102023-saison1-Still-Up.html;45
463;The Good Ship Murder;2;1;20-10-2023;Royaume-Uni;Channel 5;episode02-410953-20102023-saison1-The-Good-Ship-Murder.html;None
464;Transplant;3;4;20-10-2023;Canada;CTV;episode03-409839-20102023-saison4-Transplant.html;None
465;Upload;1;3;20-10-2023;Etats-Unis;Prime Video;episode01-410010-20102023-saison3-Upload.html;None
466;Upload;2;3;20-10-2023;Etats-Unis;Prime Video;episode02-410011-20102023-saison3-Upload.html;None
467;Yaratilan;1;1;20-10-2023;Etats-Unis;Netflix;episode01-409988-20102023-saison1-Yaratilan.html;None
468;Yaratilan;2;1;20-10-2023;Etats-Unis;Netflix;episode02-411327-20102023-saison1-Yaratilan.html;None
469;Yaratilan;3;1;20-10-2023;Etats-Unis;Netflix;episode03-411328-20102023-saison1-Yaratilan.html;None
470;Yaratilan;4;1;20-10-2023;Etats-Unis;Netflix;episode04-411329-20102023-saison1-Yaratilan.html;None
471;Yaratilan;5;1;20-10-2023;Etats-Unis;Netflix;episode05-411330-20102023-saison1-Yaratilan.html;None
472;Yaratilan;6;1;20-10-2023;Etats-Unis;Netflix;episode06-411331-20102023-saison1-Yaratilan.html;None
473;Yaratilan;7;1;20-10-2023;Etats-Unis;Netflix;episode07-411332-20102023-saison1-Yaratilan.html;None
474;Yaratilan;8;1;20-10-2023;Etats-Unis;Netflix;episode08-411333-20102023-saison1-Yaratilan.html;None
475;All Rise;16;3;21-10-2023;Etats-Unis;OWN;episode16-410330-21102023-saison3-All-Rise.html;None
476;Boomer;8;1;21-10-2023;Belgique;Één;episode08-409829-21102023-saison1-Boomer.html;None
477;Billy the Kid;2;2;22-10-2023;Etats-Unis;Epix;episode02-409588-22102023-saison2-Billy-the-Kid.html;None
478;Bob's Burgers;3;14;22-10-2023;Etats-Unis;Fox;episode03-410885-22102023-saison14-Bob-s-Burgers.html;None
479;Entre Tierras;7;1;22-10-2023;Espagne;ATRESplayer;episode07-410973-22102023-saison1-Entre-Tierras.html;None
480;Family Guy;3;22;22-10-2023;Etats-Unis;Fox;episode03-410998-22102023-saison22-Family-Guy.html;None
481;Fear the Walking Dead;7;8;22-10-2023;Etats-Unis;AMC;episode07-408754-22102023-saison8-Fear-the-Walking-Dead.html;None
482;Heartland (CA);4;17;22-10-2023;Canada;CBC;episode04-410871-22102023-saison17-Heartland-(CA).html;None
483;Krapopolis;5;1;22-10-2023;Etats-Unis;Fox;episode05-410699-22102023-saison1-Krapopolis.html;None
484;Les Mystères de l'amour;11;33;22-10-2023;France;TMC;episode11-410883-22102023-saison33-Les-Mysteres-de-l-amour.html;None
485;Rick and Morty;2;7;22-10-2023;Etats-Unis;Adult Swim;episode02-410175-22102023-saison7-Rick-and-Morty.html;None
486;SkyMed;4;2;22-10-2023;Canada;CBC Gem;episode04-411101-22102023-saison2-SkyMed.html;None
487;The Simpsons;3;35;22-10-2023;Etats-Unis;Fox;episode03-410884-22102023-saison35-The-Simpsons.html;None
488;The Villains of Valley View;17;2;22-10-2023;Etats-Unis;Disney Channel;episode17-411283-22102023-saison2-The-Villains-of-Valley-View.html;None
489;The Winter King;8;1;22-10-2023;Royaume-Uni;ITVX;episode08-409134-22102023-saison1-The-Winter-King.html;None
490;30 Monedas;1;2;23-10-2023;Europe;HBO Europe;episode01-410606-23102023-saison2-30-Monedas.html;None
491;5è Rang;7;6;23-10-2023;Canada;Radio Canada;episode07-411293-23102023-saison6-5e-Rang.html;None
492;Acting Good;2;2;23-10-2023;Canada;The Comedy Network;episode02-411294-23102023-saison2-Acting-Good.html;None
493;Harry Wild;4;2;23-10-2023;Etats-Unis;Acorn TV;episode04-410202-23102023-saison2-Harry-Wild.html;None
494;Murdoch Mysteries;4;17;23-10-2023;Canada;Citytv;episode04-410872-23102023-saison17-Murdoch-Mysteries.html;None
495;Narvalo;7;3;23-10-2023;France;Canal+;episode07-410631-23102023-saison3-Narvalo.html;None
496;SOKO Potsdam;5;6;23-10-2023;Allemagne;ZDF;episode05-410910-23102023-saison6-SOKO-Potsdam.html;None
497;Spooky Files;1;1;23-10-2023;Royaume-Uni;CBBC;episode01-411213-23102023-saison1-Spooky-Files.html;None
498;Spooky Files;2;1;23-10-2023;Royaume-Uni;CBBC;episode02-411214-23102023-saison1-Spooky-Files.html;None
499;Spooky Files;3;1;23-10-2023;Royaume-Uni;CBBC;episode03-411215-23102023-saison1-Spooky-Files.html;None
500;Spooky Files;4;1;23-10-2023;Royaume-Uni;CBBC;episode04-411216-23102023-saison1-Spooky-Files.html;None
501;Spooky Files;5;1;23-10-2023;Royaume-Uni;CBBC;episode05-411217-23102023-saison1-Spooky-Files.html;None
502;The Irrational;5;1;23-10-2023;Etats-Unis;NBC;episode05-409864-23102023-saison1-The-Irrational.html;None
503;Found;4;1;24-10-2023;Etats-Unis;NBC;episode04-409895-24102023-saison1-Found.html;None
504;The Oval;2;5;24-10-2023;Etats-Unis;BET;episode02-411123-24102023-saison5-The-Oval.html;None
505;Absolutni debiutanci;1;1;25-10-2023;Etats-Unis;Netflix;episode01-410956-25102023-saison1-Absolutni-debiutanci.html;None
506;American Horror Story;6;12;25-10-2023;Etats-Unis;FX;episode06-410999-25102023-saison12-American-Horror-Story.html;None
507;Chucky;4;3;25-10-2023;Etats-Unis;Syfy;episode04-409117-25102023-saison3-Chucky.html;None
508;Cooper's Bar;4;2;25-10-2023;Etats-Unis;AMC;episode04-411064-25102023-saison2-Cooper-s-Bar.html;None
509;Hudson & Rex;4;6;25-10-2023;Canada;Citytv;episode04-411098-25102023-saison6-Hudson--Rex.html;None
510;I Leoni di Sicilia;1;1;25-10-2023;Etats-Unis;Disney+;episode01-411334-25102023-saison1-I-Leoni-di-Sicilia.html;None
511;I Leoni di Sicilia;2;1;25-10-2023;Etats-Unis;Disney+;episode02-411335-25102023-saison1-I-Leoni-di-Sicilia.html;None
512;I Leoni di Sicilia;3;1;25-10-2023;Etats-Unis;Disney+;episode03-411336-25102023-saison1-I-Leoni-di-Sicilia.html;None
513;I Leoni di Sicilia;4;1;25-10-2023;Etats-Unis;Disney+;episode04-411337-25102023-saison1-I-Leoni-di-Sicilia.html;None
514;Invasion (2021);10;2;25-10-2023;Etats-Unis;Apple TV+;episode10-407974-25102023-saison2-Invasion-(2021).html;52
515;Magnum P.I. (2018);14;5;25-10-2023;Etats-Unis;NBC;episode14-410786-25102023-saison5-Magnum-PI-(2018).html;None
516;Quantum Leap (2022);4;2;25-10-2023;Etats-Unis;NBC;episode04-410254-25102023-saison2-Quantum-Leap-(2022).html;None
517;Robyn Hood;5;1;25-10-2023;Canada;Global;episode05-411016-25102023-saison1-Robyn-Hood.html;None
518;Sistas;13;6;25-10-2023;Etats-Unis;BET;episode13-411158-25102023-saison6-Sistas.html;None
519;SurrealEstate;4;2;25-10-2023;Etats-Unis;Syfy;episode04-410886-25102023-saison2-SurrealEstate.html;None
520;The Morning Show;8;3;25-10-2023;Etats-Unis;Apple TV+;episode08-407703-25102023-saison3-The-Morning-Show.html;50
521;The Worst of Evil;10;1;25-10-2023;Etats-Unis;Disney+;episode10-410772-25102023-saison1-The-Worst-of-Evil.html;None
522;The Worst of Evil;11;1;25-10-2023;Etats-Unis;Disney+;episode11-410773-25102023-saison1-The-Worst-of-Evil.html;None
523;The Worst of Evil;12;1;25-10-2023;Etats-Unis;Disney+;episode12-410774-25102023-saison1-The-Worst-of-Evil.html;None
524;Young Dylan;8;4;25-10-2023;Etats-Unis;Nickelodeon;episode08-410988-25102023-saison4-Young-Dylan.html;None
525;All Creatures Great and Small (2020);4;4;26-10-2023;Royaume-Uni;Channel 5;episode04-410984-26102023-saison4-All-Creatures-Great-and-Small-(2020).html;None
526;American Horror Stories;1;3;26-10-2023;Etats-Unis;FX;episode01-409055-26102023-saison3-American-Horror-Stories.html;None
527;American Horror Stories;2;3;26-10-2023;Etats-Unis;FX;episode02-411055-26102023-saison3-American-Horror-Stories.html;None
528;American Horror Stories;3;3;26-10-2023;Etats-Unis;FX;episode03-411056-26102023-saison3-American-Horror-Stories.html;None
529;American Horror Stories;4;3;26-10-2023;Etats-Unis;FX;episode04-411057-26102023-saison3-American-Horror-Stories.html;None
530;À La Carte;7;2;26-10-2023;Etats-Unis;ALLBLK;episode07-410520-26102023-saison2-A-La-Carte.html;None
531;Doom Patrol;10;4;26-10-2023;Etats-Unis;HBO Max;episode10-410007-26102023-saison4-Doom-Patrol.html;None
532;Frasier (2023);4;1;26-10-2023;Etats-Unis;Paramount+;episode04-409726-26102023-saison1-Frasier-(2023).html;None
533;La Mesias;4;1;26-10-2023;Espagne;Moviestar+;episode04-410546-26102023-saison1-La-Mesias.html;None
534;Loki;4;2;26-10-2023;Etats-Unis;Disney+;episode04-410904-26102023-saison2-Loki.html;None
535;LT-21;5;1;26-10-2023;France;OCS;episode05-408966-26102023-saison1-LT-21.html;None
536;LT-21;6;1;26-10-2023;France;OCS;episode06-408967-26102023-saison1-LT-21.html;None
537;Our Flag Means Death;8;2;26-10-2023;Etats-Unis;HBO Max;episode08-409669-26102023-saison2-Our-Flag-Means-Death.html;None
538;Pluto;1;1;26-10-2023;Etats-Unis;Netflix;episode01-406634-26102023-saison1-Pluto.html;None
539;Star Trek: Lower Decks;9;4;26-10-2023;Etats-Unis;Paramount+;episode09-409763-26102023-saison4-Star-Trek-Lower-Decks.html;None
540;The Vanishing Triangle;1;1;26-10-2023;Etats-Unis;SundanceTV;episode01-410193-26102023-saison1-The-Vanishing-Triangle.html;None
541;The Vanishing Triangle;2;1;26-10-2023;Etats-Unis;SundanceTV;episode02-410194-26102023-saison1-The-Vanishing-Triangle.html;None
542;Billions;12;7;27-10-2023;Etats-Unis;Showtime;episode12-409777-27102023-saison7-Billions.html;None
543;Bosch: Legacy;5;2;27-10-2023;Etats-Unis;Amazon Freevee;episode05-409711-27102023-saison2-Bosch-Legacy.html;None
544;Bosch: Legacy;6;2;27-10-2023;Etats-Unis;Amazon Freevee;episode06-409712-27102023-saison2-Bosch-Legacy.html;None
545;Fellow Travelers 1;1;1;27-10-2023;Etats-Unis;Showtime;episode01-409066-27102023-saison1-Fellow-Travelers-1.html;None
546;Gen V;7;1;27-10-2023;Etats-Unis;Prime Video;episode07-408431-27102023-saison1-Gen-V.html;None
547;Goosebumps (2023);7;1;27-10-2023;Etats-Unis;Disney+;episode07-409984-27102023-saison1-Goosebumps-(2023).html;None
548;Lessons In Chemistry;4;1;27-10-2023;Etats-Unis;Apple TV+;episode04-406600-27102023-saison1-Lessons-In-Chemistry.html;54
549;Memento Mori;1;1;27-10-2023;Etats-Unis;Prime Video;episode01-410947-27102023-saison1-Memento-Mori.html;None
550;Shining Vale;3;2;27-10-2023;Etats-Unis;Starz;episode03-411124-27102023-saison2-Shining-Vale.html;None
551;SOKO Leipzig;10;24;27-10-2023;Allemagne;ZDF;episode10-410564-27102023-saison24-SOKO-Leipzig.html;None
552;Still Up;8;1;27-10-2023;Etats-Unis;Apple TV+;episode08-408949-27102023-saison1-Still-Up.html;45
553;The Good Ship Murder;3;1;27-10-2023;Royaume-Uni;Channel 5;episode03-410954-27102023-saison1-The-Good-Ship-Murder.html;None
554;Tore;1;1;27-10-2023;Etats-Unis;Netflix;episode01-410156-27102023-saison1-Tore.html;None
555;Tore;2;1;27-10-2023;Etats-Unis;Netflix;episode02-410157-27102023-saison1-Tore.html;None
556;Tore;3;1;27-10-2023;Etats-Unis;Netflix;episode03-410158-27102023-saison1-Tore.html;None
557;Tore;4;1;27-10-2023;Etats-Unis;Netflix;episode04-410159-27102023-saison1-Tore.html;None
558;Tore;5;1;27-10-2023;Etats-Unis;Netflix;episode05-410160-27102023-saison1-Tore.html;None
559;Tore;6;1;27-10-2023;Etats-Unis;Netflix;episode06-410161-27102023-saison1-Tore.html;None
560;Transplant;4;4;27-10-2023;Canada;CTV;episode04-409840-27102023-saison4-Transplant.html;None
561;Upload;3;3;27-10-2023;Etats-Unis;Prime Video;episode03-410012-27102023-saison3-Upload.html;None
562;Upload;4;3;27-10-2023;Etats-Unis;Prime Video;episode04-410013-27102023-saison3-Upload.html;None
563;All Rise;17;3;28-10-2023;Etats-Unis;OWN;episode17-410331-28102023-saison3-All-Rise.html;None
564;Boomer;9;1;28-10-2023;Belgique;Één;episode09-409830-28102023-saison1-Boomer.html;None
565;Billy the Kid;3;2;29-10-2023;Etats-Unis;Epix;episode03-409589-29102023-saison2-Billy-the-Kid.html;None
566;Bob's Burgers;4;14;29-10-2023;Etats-Unis;Fox;episode04-410887-29102023-saison14-Bob-s-Burgers.html;None
567;Entre Tierras;8;1;29-10-2023;Espagne;ATRESplayer;episode08-410974-29102023-saison1-Entre-Tierras.html;None
568;Fear the Walking Dead;8;8;29-10-2023;Etats-Unis;AMC;episode08-408755-29102023-saison8-Fear-the-Walking-Dead.html;None
569;Heartland (CA);5;17;29-10-2023;Canada;CBC;episode05-411244-29102023-saison17-Heartland-(CA).html;None
570;Krapopolis;6;1;29-10-2023;Etats-Unis;Fox;episode06-410700-29102023-saison1-Krapopolis.html;None
571;Les Mystères de l'amour;12;33;29-10-2023;France;TMC;episode12-411100-29102023-saison33-Les-Mysteres-de-l-amour.html;None
572;Rick and Morty;3;7;29-10-2023;Etats-Unis;Adult Swim;episode03-411159-29102023-saison7-Rick-and-Morty.html;None
573;SkyMed;5;2;29-10-2023;Canada;CBC Gem;episode05-411280-29102023-saison2-SkyMed.html;None
574;The Gilded Age;1;2;29-10-2023;Etats-Unis;HBO;episode01-409717-29102023-saison2-The-Gilded-Age.html;None
575;The Simpsons;4;35;29-10-2023;Etats-Unis;Fox;episode04-410985-29102023-saison35-The-Simpsons.html;None
576;The Winter King;9;1;29-10-2023;Royaume-Uni;ITVX;episode09-409135-29102023-saison1-The-Winter-King.html;None
577;Acting Good;3;2;30-10-2023;Canada;The Comedy Network;episode03-411295-30102023-saison2-Acting-Good.html;None
578;American Dad!;15;19;30-10-2023;Etats-Unis;TBS (US);episode15-411032-30102023-saison19-American-Dad.html;None
579;Harry Wild;5;2;30-10-2023;Etats-Unis;Acorn TV;episode05-410203-30102023-saison2-Harry-Wild.html;None
580;Murdoch Mysteries;5;17;30-10-2023;Canada;Citytv;episode05-411017-30102023-saison17-Murdoch-Mysteries.html;None
581;SOKO Potsdam;6;6;30-10-2023;Allemagne;ZDF;episode06-410911-30102023-saison6-SOKO-Potsdam.html;None
582;The Irrational;6;1;30-10-2023;Etats-Unis;NBC;episode06-409865-30102023-saison1-The-Irrational.html;None
583;Found;5;1;31-10-2023;Etats-Unis;NBC;episode05-409896-31102023-saison1-Found.html;None
584;The Oval;3;5;31-10-2023;Etats-Unis;BET;episode03-411296-31102023-saison5-The-Oval.html;None
